"","Type.results","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p","Common.Name","Window.size","Window.time","Training.dates","p.adj"
"1","Cumulative",20,2.72703046257505,-21.5140342187359,27.6490431208417,12.3157635104183,17.2729695374249,-7.64904312084167,41.5140342187359,12.3157635104183,-38.0857285709226,-24.8277502767876,30.4197575165206,937.777921511796,0.05,0.0782520325203252,"Yellow-throated Warbler",28,"before_eclipse","6,7,9",0.194768918232605
"2","Cumulative",14,3.98553712630624,-16.0875242954764,22.1785270340876,9.85736883758599,10.0144628736938,-8.17852703408756,30.0875242954764,9.85736883758599,0.171372291025091,-31.1357769154313,22.5314615873521,110.76861866942,0.05,0.140386571719227,"Yellow-throated Warbler",24,"before_eclipse","6,7,9",0.243336724313327
"3","Cumulative",14,5.12761247279825,-10.1254249016453,20.1467386566653,7.7518429571375,8.87238752720175,-6.14673865666528,24.1254249016453,7.7518429571375,13.3296002357701,-18.1178923969187,27.8140316369281,375.031594600849,0.05,0.122075279755849,"Yellow-throated Warbler",20,"before_eclipse","6,7,9",0.264496439471007
"4","Cumulative",10,7.78124164372194,-2.23197699145781,17.7964798641605,5.25137492418128,2.21875835627806,-7.79647986416047,12.2319769914578,5.25137492418128,0.139235730714095,-9.13007459750293,9.67319383999512,30.1758547757629,0.05,0.346115035317861,"Yellow-throated Warbler",16,"before_eclipse","6,7,9",0.422163104302358
"5","Cumulative",4,6.97563326662216,-0.872048229267719,15.2594256922636,4.12227449461423,-2.97563326662216,-11.2594256922636,4.87204822926772,4.12227449461423,-0.274002862735146,-3.51370886859949,2.57449586278265,4.79861070026123,0.05,0.218970736629667,"Yellow-throated Warbler",12,"before_eclipse","6,7,9",0.335043731778426
"6","Cumulative",2,5.09598426348257,-1.33058128179137,11.1149276148235,3.19217165272775,-3.09598426348257,-9.11492761482353,3.33058128179137,3.19217165272775,1.62362793885856,-3.99822389940436,1.39713509541315,69.1241569775641,0.05,0.182913472070099,"Yellow-throated Warbler",8,"before_eclipse","6,7,9",0.352277798060931
"7","Cumulative",2,2.87948449803094,-1.69917695180174,7.42283426458723,2.31611652537368,-0.879484498030935,-5.42283426458724,3.69917695180174,2.31611652537368,0.243135941282009,-6.17782040683712,7.19139204498467,24.679007706443,0.05,0.371859296482412,"Yellow-throated Warbler",4,"before_eclipse","6,7,9",0.449690312025242
"8","Cumulative",23,6.37810294601025,-2.30849057163838,15.1290599411263,4.43579573692629,16.6218970539897,7.87094005887375,25.3084905716384,4.43579573692629,-24.3899355965063,-24.0330663129184,30.7713082838392,854.174034834104,0.05,0.00100704934541793,"Wild Turkey",28,"before_eclipse","6,7,9",0.0105798575788403
"9","Cumulative",21,5.529790691649,-2.64228460745411,13.1101706090216,3.88199617679644,15.470209308351,7.88982939097839,23.6422846074541,3.88199617679644,-13.3708069529502,-27.4059565534918,22.7037128340195,570.908981090924,0.05,0.001,"Wild Turkey",24,"before_eclipse","6,7,9",0.00756473668897294
"10","Cumulative",16,4.70493512616812,-1.54111592186812,11.1292682441107,3.30163570961844,11.2950648738319,4.87073175588929,17.5411159218681,3.30163570961844,0.164704368360003,-32.6617767119504,33.6542683281309,60.7921263211792,0.05,0.001,"Wild Turkey",20,"before_eclipse","6,7,9",0.00887978142076503
"11","Cumulative",10,3.67574995519337,-1.1796190898222,8.91167554129284,2.62437650666707,6.32425004480663,1.08832445870716,11.1796190898222,2.62437650666707,1.48759859514949,-17.7365584526473,28.8878020051949,50.0737662938621,0.05,0.00604229607250755,"Wild Turkey",16,"before_eclipse","6,7,9",0.0244150559511699
"12","Cumulative",5,2.76475829859213,-1.11671024495496,6.71313419920429,1.93238543170541,2.23524170140787,-1.71313419920429,6.11671024495496,1.93238543170541,1.16339587161591,-12.7082459283217,13.7407755702698,17.9706188956816,0.05,0.128571428571429,"Wild Turkey",12,"before_eclipse","6,7,9",0.267428571428571
"13","Cumulative",4,1.66018250818802,-0.510820529819402,3.72511431984219,1.09291870266463,2.33981749181198,0.274885680157812,4.5108205298194,1.09291870266463,9.23322458173093,-18.3961102269865,13.5214491660792,246.715394752453,0.05,0.0153061224489796,"Wild Turkey",8,"before_eclipse","6,7,9",0.0612244897959184
"14","Cumulative",3,0.668172280239595,-0.848550318440056,2.07015728606685,0.748929897679079,2.3318277197604,0.929842713933149,3.84855031844006,0.748929897679079,2.58217420991503,-45.240090482937,33.9642760546277,64.9097594772301,0.05,0.004,"Wild Turkey",4,"before_eclipse","6,7,9",0.026
"15","Cumulative",88,17.2725286641903,-28.1332726548143,64.7692738880939,23.979855195652,70.7274713358097,23.2307261119061,116.133272654814,23.979855195652,-3.14167879463119,-47.9240495571599,66.8503889755735,263.294438307802,0.05,0.00302114803625378,"White-throated Sparrow",28,"before_eclipse","6,7,9",0.0176151761517615
"16","Cumulative",86,20.3015143494937,-20.6584433170821,59.7769423467056,20.2831291044698,65.6984856505063,26.2230576532944,106.658443317082,20.2831291044698,4.29445702723313,-53.3372836200094,36.8950441158005,94.3208253223236,0.05,0.001,"White-throated Sparrow",24,"before_eclipse","6,7,9",0.00756473668897294
"17","Cumulative",86,18.0367310915282,-18.3995919709952,53.2389883875448,17.7543458937462,67.9632689084717,32.7610116124552,104.399591970995,17.7543458937462,-0.286699035999747,-43.1101327854658,53.9746950808414,143.862518071602,0.05,0.00100603621730382,"White-throated Sparrow",20,"before_eclipse","6,7,9",0.00887978142076503
